Metabolite,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,HFD7,HFD8
(+)-[6]-Gingerol,0.204859507,0.34161622,0.406411401,0.308105756,0.261053376,0.125662143,0.375933616,0.145730748,0.27274107,0.31878128,0.457375485,0.381412323,0.266593974,0.287250655,0.384554497,0.242318027
(+)-castanospermine,19.74339985,22.78158964,24.10103281,27.59753936,20.87165667,19.5704857,13.85465526,13.33220494,11.11229207,12.38801915,20.35615464,18.4543961,17.85774772,15.80258282,19.12855793,25.37102446
"(10E,12Z)-9-Hydroperoxy-10,12-octadecadienoic acid",1.707126039,3.204878581,3.808697587,1.986927452,2.88739711,1.441751199,1.256068252,1.142590525,1.734699375,1.685532839,1.526022039,1.318708845,1.583423692,2.07859756,1.412826951,2.158833195
"(10E,15Z)-9,12,13-Trihydroxy-10,15-octadecadienoic acid",0.389662982,0.323348457,0.333012286,0.338297938,0.332472086,0.267634304,0.316664158,0.33048639,0.292251625,0.264684156,0.409736475,0.449352263,0.282125295,0.324373338,0.496810942,0.28143418
(10S)-Juvenile hormone III diol,4.238413314,2.466103145,4.593584484,3.504209858,1.87627239,3.724893795,4.370030931,7.437804689,5.319239474,5.540396457,4.599710541,5.399897152,4.010312406,5.228214649,4.956700928,2.84480044
"(12E)-9,10-Dihydroxy-12-octadecenoic acid",1.172595771,0.831030824,1.373870941,0.993627528,0.913348703,1.179965912,1.267242267,1.526973451,1.57827049,1.779167851,0.970296911,1.719716327,1.160253074,1.071797385,1.302584526,1.467173983
"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",0.286502284,0.382614643,0.303681903,1.760964617,1.625354464,1.663959175,2.143980016,2.627074536,2.052421913,2.700150913,2.167045006,3.444170419,3.247925256,0.379022651,0.503962663,0.338937308
"(18R)-24-Amino-21-hydroxy-21-oxido-15-oxo-16,20,22-trioxa-21λ~5~-phosphatetracosan-18-yl (6Z,9Z,12Z)-6,9,12-octadecatrienoate",1.770588765,5.729634171,4.314717716,6.815631562,8.091124194,3.333189177,1.741211824,1.385847656,1.445671783,1.142398185,1.792412066,1.400565155,1.268247886,2.500204488,1.280470992,1.691080876
"(1E)-1-(3-Oxo-6,7-dihydro-2-benzofuran-1(3H)-ylidene)-2-butanyl (2E)-2-methyl-2-butenoate",0.582142386,0.651944189,0.682257539,0.562842159,0.60979647,0.549523742,0.569954963,0.55549232,0.453245782,0.583065699,0.630573958,0.630764989,0.508512674,0.689356938,0.639398811,0.558498387
"(1E)-7-(4-Hydroxyphenyl)-1-phenyl-1-heptene-3,5-dione",0.111299036,0.169278122,0.129787985,0.184780282,0.108421777,0.108468098,0.114789149,0.134517714,0.107745264,0.127379687,0.150873108,0.128313127,0.123596123,0.144369815,0.177962867,0.127028483
"(1R,5S,6R,7R,9S,11S,12S,13S,14S)-3-Amino-14-methyl-8,10-dioxa-2,4-diazatetracyclo[7.3.1.1~7,11~.0~1,6~]tetradec-2-ene-5,9,12,13,14-pentol",2.541375187,2.1534816,2.630553632,3.903717897,1.953721436,3.00115878,2.53781791,6.217882797,1.639979337,2.213593346,3.322624875,4.410198262,3.8262887,1.814052741,4.384815019,2.73717378
"(1S,2R,3S,4S,6R,7R,8R,14S)-3-Hydroxy-2,4,7,14-tetramethyl-9-oxo-4-vinyltricyclo[5.4.3.0~1,8~]tetradec-6-yl glycolate",0.081278595,0.11905366,0.096368919,0.101759955,0.0816686,0.076415444,0.079902432,0.097649066,0.070372198,0.087225059,0.105788023,0.10053144,0.081949184,0.099139853,0.126688789,0.09396129
"(1S,2R,5S)-2-Isopropyl-5-methylcyclohexyl 3-oxobutanoate",0.474683488,0.960713556,0.677452592,0.717342265,0.918920362,0.626536921,0.680064022,0.61862459,1.200468262,0.912585952,0.826223164,0.713979069,1.038696503,1.125400164,0.76493676,0.771060974
"(1S,2R,7R,8R,11R,12R)-12-Methyl-6-methylene-17-oxa-14-azahexacyclo[10.6.3.1~5,8~.0~1,11~.0~2,8~.0~14,18~]docos-7-yl acetate",2.543769317,2.352103833,3.127609665,2.413206001,2.444314762,1.726326238,1.566302004,1.764165915,1.416801856,2.233407636,2.682932178,2.611183664,2.727450592,1.919147133,2.01280348,3.375698247
(1Z)-N-[3-Hydroxy-2-(octanoyloxy)propyl]octanimidic acid,52.07041014,75.02046176,67.32076492,79.30317544,33.50450484,38.22348809,48.63640609,44.50054816,62.16952548,27.72565336,38.51303127,41.16677525,38.48767703,42.56548269,39.91779753,29.32323043
"(1r,2R,3S,4s,5R,6S)-1-Methyl-1,2,3,4,5,6-cyclohexanehexol",0.958742417,1.09985267,1.573969648,1.127484244,0.976936565,1.106049587,1.084727163,0.900574569,0.577103419,0.640013968,1.110704215,0.734005088,0.715233607,0.568530791,0.738719971,1.031263933
(2-(Dimethoxymethyl)-1-heptenyl)benzene,0.67060306,1.299064095,1.415736483,0.969980671,1.281191082,0.847194893,0.919573526,0.836495944,1.355837746,1.233986588,1.188423422,0.965433002,1.404511598,1.521751136,1.200293139,1.042618395
"(2-Hydroxy-2-oxido-1,3,2-dioxaphospholan-4-yl)methyl stearate",64.36301682,94.42184597,49.63672172,87.17259831,29.30317784,107.1337602,59.57812081,216.4113103,237.868668,79.85948375,142.5141242,125.3680623,83.31091102,70.78803732,213.5123111,46.98937989
(2-Pentyl-3-phenyl-2-oxiranyl)methyl hydrogen sulfate,5.179006739,6.660470887,5.329253531,7.728032755,3.045472611,4.674473381,3.558269143,6.428234798,6.358312402,7.586610274,6.303655941,6.806102837,5.757758655,6.973389237,7.048561775,4.332730532
"(2E)-3-(3,4-Dimethoxyphenyl)acrylic acid",0.226555451,0.433848621,0.196664001,0.221126647,0.269651079,0.254295335,0.257838133,0.220541755,0.233666797,0.209393706,0.31416106,0.251667659,0.218704162,0.381069089,0.322512891,0.27447394
(2E)-3-(4-Hydroxyphenyl)-N-[2-(1H-indol-3-yl)ethyl]acrylamide,0.308667491,0.464360478,0.269748751,0.24811724,0.292191616,0.307342116,0.323597554,0.378638587,0.274087346,0.373179001,0.381085231,0.382586683,0.321112184,0.394639043,0.505267974,0.369079511
(2E)-3-Methyl-4-(sulfooxy)-2-butenoic acid,7.204257196,7.817744245,8.035264075,10.12313453,3.286518234,4.855070822,2.90797447,11.44025742,5.257153907,14.3368539,8.24768743,6.978570193,6.579559882,4.455866808,19.52088752,5.426255522
"(2E,4Z)-2-hydroxy-6-oxonona-2,4-dienedioic acid",0.184174551,0.144347324,0.227114387,0.199857684,0.133906083,0.136247646,0.176755652,0.165252903,1.185615054,0.659670568,0.241876841,0.398130716,0.231963231,1.362823827,0.222011031,0.146613819
(2R)-1-(Octanoyloxy)-3-(phosphonooxy)-2-propanyl decanoate,0.169370963,0.216193746,0.190691523,0.210868466,0.229049676,0.156128626,0.175822162,0.174184592,0.162207843,0.19474809,0.21822349,0.174435973,0.198780857,0.191905032,0.210509113,0.17212901
