Metabolite,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,HFD7,HFD8
(+)-Carpaine,0.267206107,0.442208738,0.186837204,0.08276914,0.049805039,0.061907631,0.277181797,0.037427584,0.085500811,0.037774504,0.149029164,0.032406116,0.029856229,0.257449823,0.10191724,0.071891733
(+)-Eudesmin,0.10116307,0.142520812,0.084643,0.111166457,0.077100621,0.077043319,0.082863654,0.107642168,0.085649361,0.104052666,0.09531757,0.088579791,0.089322997,0.107834673,0.137800635,0.090930849
(+)-Nootkatone,0.357794153,0.442151086,0.239642035,0.419998939,0.513031072,0.416984281,0.492520464,0.436890421,0.306015875,0.282793176,0.333732849,0.303130303,0.249218938,0.304007458,0.449849903,0.50336544
(+)-[6]-Gingerol,0.604567878,0.604923648,0.654258118,0.554358041,0.48030083,0.54836717,0.458797089,0.373724077,0.312807974,0.44561324,0.390597708,0.555380009,0.522188233,0.503701276,0.812692834,0.823858097
(+)-cassaine,2.176586578,2.03092652,2.15061438,1.294318355,3.246542576,2.036880199,3.016485613,1.41021197,2.418748894,2.101774739,1.17788337,2.277900142,1.657905112,2.618739209,1.664881508,1.974512087
(+)-castanospermine,0.71414764,0.184720454,0.635466109,0.658686632,0.212137074,0.527656929,0.603886356,0.72025689,0.270705649,0.154586955,0.219691428,0.636173576,0.671178766,0.756558271,0.412924877,0.407871201
(+)-fawcettimine,0.044294976,0.059697686,0.031640143,0.043240981,0.030127788,0.037146636,0.034108214,0.049810946,0.029902989,0.053940236,0.037664405,0.055511644,0.034712919,0.041656244,0.054262487,0.041868315
"(10E,15Z)-9,12,13-Trihydroxy-10,15-octadecadienoic acid",0.280639274,0.360295027,0.136438854,0.10121658,0.124763453,0.098976779,0.187557106,0.157849657,0.16465817,0.687951659,0.113340612,0.106073099,0.498093614,0.222711644,0.186604331,0.165030098
(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,0.196798357,0.060664893,0.123270022,0.047433592,0.094053588,0.113601226,0.093077018,0.271282335,0.183582924,0.35935118,0.250553514,0.172359331,0.510860284,0.252088044,0.172756841,0.07839549
"(1R,2R,3S,5R,7R)-2-Acetamido-7-(1,2-dihydroxyethyl)-3-hydroxy-6,8-dioxabicyclo[3.2.1]octane-5-carboxylic acid",6.456320994,3.383061604,4.116068251,5.324162961,6.177560007,6.425967102,5.564330373,6.223837369,6.294475633,10.84577704,4.146350038,8.600135158,4.110799942,5.765126487,11.51836772,5.201212216
"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",0.039875297,0.072143356,0.03686564,0.025618277,0.034911405,0.041130171,0.04187322,0.029232073,0.073791114,0.052229037,0.065913697,0.023964827,0.028390314,0.074409445,0.086653404,0.069750792
"(1S,16R)-7,11-Dihydroxy-8,8,10,16-tetramethyl-12-methylene-3-[(1E)-1-(2-methyl-1,3-thiazol-4-yl)-1-propen-2-yl]-17-oxa-4-azabicyclo[14.1.0]heptadecane-5,9-dione",1.179226344,0.085500089,0.044520946,0.644797999,0.033034183,0.071482658,0.040029051,0.060517806,0.034856079,0.049801433,0.048359253,0.035953732,0.049694256,0.049946866,0.07761753,0.052407262
"(1S,2R,5S)-2-Isopropyl-5-methylcyclohexyl 3-oxobutanoate",0.228266378,0.389963807,0.246180515,0.151740292,0.112076222,0.166973456,0.271152508,0.368070771,0.204796161,0.224880048,0.443231212,0.336605737,0.199265651,0.245095757,0.10100691,0.259421408
